PaCMAP2,PaCMAP1
-0.48436347,-10.42746
-0.91540736,16.990074
0.35442677,-1.006131
1.6986217,-5.307946
0.50913256,-4.511874
-2.8384128,3.8864737
-6.51327,-1.2657232
-6.197427,-2.4717495
0.05629872,-1.7778621
6.156867,6.04363
-3.5625799,3.9682639
3.6109924,3.4676673
-3.540315,15.244177
-0.2208632,13.04902
-7.8295865,-7.8418264
4.860246,18.041311
0.249427,-22.945444
2.4062557,10.396817
1.6227832,-22.285742
-2.6769803,17.128998
-2.9738863,7.4995275
-0.14158715,2.84983
0.5017694,-2.7089148
-2.181671,4.478905
8.0316105,11.947148
-0.6030743,5.559759
4.8919053,-20.008741
0.41015708,14.182954
-0.88595414,-18.900976
0.09941294,5.0394306
-6.6089606,6.2658257
-3.374917,14.927788
4.3870263,14.8315
0.6472099,-5.7549205
-5.3529487,10.809924
-6.2295976,-6.598811
-2.1025686,9.874122
-7.5939198,-13.9931755
3.3949769,-22.791794
-5.5374436,5.973487
5.7441897,7.091084
0.45104414,0.14401154
3.7911189,-18.548124
5.9519877,5.187731
3.7904508,-20.215605
-2.160427,9.556194
-3.2045484,1.0812883
-7.170633,-14.34874
-7.9687433,-6.247932
-4.991385,-4.5818796
-8.047639,-11.435143
1.5578312,-22.781343
3.797992,8.6636915
-5.464221,5.6978364
-2.122606,3.7302487
-2.897375,17.669453
-0.86110467,-8.919365
-2.1319013,9.926632
-4.3137865,9.504126
-5.8718896,5.0526896
4.8930492,-21.111078
0.053998318,-3.1242056
3.9879084,5.481378
-3.0018315,8.06173
4.183245,3.332305
-7.191573,0.55266947
4.704121,-19.42982
-4.297771,9.215561
-4.4424076,-12.458705
-5.878723,-1.2227482
4.5176325,17.780989
9.39325,-18.36543
-2.7873557,-6.4785337
-2.203355,-11.236989
-1.7579594,-19.257404
-2.1548667,-12.71537
-5.940353,-15.9940605
-3.2965834,-10.088004
-3.7758589,-11.645016
-1.1194446,15.92533
3.0119972,9.677216
2.0752764,12.615729
-8.309455,-6.990868
-7.0642214,-15.00792
-0.13009547,15.204613
6.5115733,17.549639
-1.4635682,16.081638
3.4964535,5.3731046
5.599178,4.7563524
5.4709883,0.5888584
-0.33935943,-22.645206
6.065774,-20.15349
3.2843924,-21.885708
-7.318495,-7.524156
-0.8706346,-10.755904
2.8827913,9.901412
0.98678607,-17.540018
4.1478734,15.369669
3.8216517,5.7499485
0.3861114,9.66344
-1.1889315,-7.755564
-3.1439645,-6.7002845
-2.8368373,8.949761
-2.7566972,-6.731139
-3.992791,-11.395574
-6.5559363,-0.583242
5.86608,7.865978
-2.4141405,10.074192
6.2566056,17.802763
6.67551,-20.033537
-6.2462845,3.038985
-5.6115303,4.161619
2.389426,-18.022194
-3.8989136,7.5509253
4.148013,5.5475855
