TriMAP2,TriMAP1
-43.47425,-27.602772
-2.2773428,23.087133
26.911364,10.390957
-11.896824,-24.427155
-22.392973,37.755627
21.032082,11.412225
12.011937,-5.6760826
18.79306,15.050391
0.7869968,5.12301
-10.439036,-13.975851
-11.658639,12.372038
-13.538499,-30.211105
-11.1338415,-1.4886489999999999
37.395775,-10.909366
-14.547503,-35.68763
-30.024559,3.687362
25.259493,10.593879
20.176346,19.283998
-11.997207,-29.295654
19.335491,-23.604727
-48.299137,13.020729
-25.489925,-12.025478
23.003855,-7.26718
-21.994318,37.475636
-12.98433,-28.488007
17.76536,11.786533
-24.663364,-11.445421
-2.3371925,4.42368
-23.973343,1.7725043
6.9405947,8.690925
28.670485,-9.004163
-20.361967,-8.839562
-29.616615,3.58702
-20.331633,-8.977438
-17.045527,23.25463
16.876766,-21.545673
29.647038,37.51621
-1.1741939,35.2138
-18.588737,-10.07813
-21.753166,36.98261
-23.403778,-10.939717
-33.893036,-18.969292
13.277814,-13.806913
-29.214724,3.476455
-16.32005,-3.0677087
-12.493464,-26.308128
-10.44472,-17.858665
27.811802,33.57636
-40.73115,7.576994
35.26689,-37.58795
23.105602,25.965054
-23.984844,-11.018866
-10.903303,-20.173748
15.175625,-5.154091
-37.472263,6.5473337
12.277631,-11.635901
30.173748,9.70782
-2.2450285,25.916079
-14.632123,17.584839
-43.93358,9.776067
-24.148254,-11.083585
29.801971,-33.570496
6.514783,8.507446
-29.84246,3.6461513
-2.633581,17.452543
15.452155,4.9071646
11.783337,-8.555229
-1.9705249,20.868912
-16.878124,-5.1199875
-1.6478763,31.956564
35.08557,-37.27525
-2.0354764,33.83046
-3.0913842,21.081434
35.498985,-37.6076
-2.4389858,20.85274
-18.305372,25.900778
-2.0386026,34.01792
26.165066,-31.195673
10.303723,11.330081
-0.32478482,5.158265
-32.61623,-17.771759
-20.918484,33.90439
-43.869038,9.252038
-11.124412,-21.432783
44.386093,-11.910805
-10.543596,-13.376103
-10.462917,-12.882049
-3.3822727,11.642337
-1.9375731,26.712084
31.62669,9.873073
25.681952,30.532082
-19.032043,28.360416
-30.031832,3.687088
23.060299,25.988394
40.09343,-39.290028
-28.795753,-14.393875
18.790434,15.537143
-8.41753,8.915632
11.824048,-8.75799
-17.16559,-3.8692603
14.934685,3.7548232
18.832905,-24.123238
-10.379285,-14.136288
24.695948,-7.7065434
-21.57328,36.019863
12.747605,-12.15846
-40.595257,-25.520906
-32.170166,-17.290674
31.834234,-9.802975
